movie_title,num_critic_for_reviews,duration,num_voted_users,budget,title_year,imdb_score
The Shawshank Redemption,199,142,1689764,25000000,1994,9.3
The Dark Knight,645,152,1676169,185000000,2008,9.0
Inception,642,148,1468200,160000000,2010,8.8
Fight Club,315,151,1347461,63000000,1999,8.8
Pulp Fiction,215,178,1324680,8000000,1994,8.9
Forrest Gump,149,142,1251222,55000000,1994,8.8
The Lord of the Rings: The Fellowship of the Ring,297,171,1238746,93000000,2001,8.8
The Matrix,313,136,1217752,63000000,1999,8.7
The Lord of the Rings: The Return of the King,328,192,1215718,94000000,2003,8.9
The Godfather,208,175,1155770,6000000,1972,9.2
The Lord of the Rings: The Two Towers,294,172,1100446,94000000,2002,8.7
Se7en,216,127,1023511,33000000,1995,8.6
Interstellar,712,169,928227,165000000,2014,8.6
Star Wars: Episode IV - A New Hope,282,125,911097,11000000,1977,8.7
The Silence of the Lambs,185,138,887467,19000000,1991,8.6
Saving Private Ryan,219,169,881236,70000000,1998,8.6
Schindler's List,174,185,865020,22000000,1993,8.9
Star Wars: Episode V - The Empire Strikes Back,223,127,837759,18000000,1980,8.8
The Godfather: Part II,149,220,790926,13000000,1974,9.0
American History X,162,101,782437,7500000,1998,8.6
The Usual Suspects,162,106,740918,6000000,1995,8.6
Goodfellas,192,146,728685,25000000,1990,8.7
One Flew Over the Cuckoo's Nest,149,133,680041,4400000,1975,8.7
City of God,214,135,533200,3300000,2002,8.7
The Good the Bad and the Ugly,181,142,503509,1200000,1966,8.9
12 Angry Men,177,96,447785,350000,1957,8.9
Spirited Away,246,125,417971,19000000,2001,8.6
Casablanca,242,82,387508,950000,1942,8.6
It's a Wonderful Life,206,118,275720,3180000,1946,8.6
Once Upon a Time in the West,164,145,216005,5000000,1968,8.6
Batman & Robin,183,125,189855,125000000,1997,3.7
Modern Times,120,87,143086,1500000,1936,8.6
Epic Movie,112,93,89687,20000000,2007,2.3
Meet the Spartans,111,86,88518,30000000,2008,2.7
Catwoman,212,87,87451,100000000,2004,3.3
Disaster Movie,111,88,74945,25000000,2008,1.9
Justin Bieber: Never Say Never,84,115,74351,13000000,2011,1.6
Battlefield Earth,174,119,65464,44000000,2000,2.4
Speed 2: Cruise Control,79,121,60573,160000000,1997,3.7
Jack and Jill,156,91,60370,79000000,2011,3.4
Dragonball: Evolution,130,100,56451,45000000,2009,2.7
Street Fighter,63,102,53115,35000000,1994,3.8
Date Movie,99,85,50415,20000000,2006,2.7
Scary Movie 5,153,88,50337,20000000,2013,3.5
The Love Guru,150,87,43300,62000000,2008,3.8
Gigli,131,121,41620,54000000,2003,2.4
Son of the Mask,78,94,40751,84000000,2005,2.2
Vampires Suck,122,82,39095,20000000,2010,3.5
In the Name of the King: A Dungeon Siege Tale,140,156,38398,60000000,2007,3.8
Alone in the Dark,148,94,37626,20000000,2005,2.3
Mortal Kombat: Annihilation,59,95,36363,30000000,1997,3.7
The Cat in the Hat,109,82,36033,109000000,2003,3.8
RoboCop 3,75,104,35018,23500000,1993,3.9
Crossroads,111,93,34219,12000000,2002,3.3
Superman IV: The Quest for Peace,94,134,33570,17000000,1987,3.6
Jaws: The Revenge,80,92,30840,23000000,1987,2.8
Dumb and Dumberer: When Harry Met Lloyd,85,85,30651,19000000,2003,3.4
BloodRayne,143,92,30628,25000000,2005,2.9
Spice World,33,93,28377,25000000,1997,3.3
Prom Night,146,89,27664,20000000,2008,3.9
One Missed Call,141,87,26624,27000000,2008,3.9
Superbabies: Baby Geniuses 2,32,88,25371,20000000,2004,1.9
Police Academy: Mission to Moscow,17,83,24958,6200000,1994,3.3
Left Behind,169,110,24854,16000000,2014,3.1
You Got Served,58,95,23671,8000000,2004,3.5
From Justin to Kelly,60,90,23606,12000000,2003,2.1
Rollerball,151,98,22264,70000000,2002,3.0
Dragon Wars: D-War,93,107,21506,35000000,2007,3.6
The Adventures of Sharkboy and Lavagirl 3-D,66,93,20310,50000000,2005,3.5
The Adventures of Pluto Nash,66,95,20295,100000000,2002,3.8
Street Fighter: The Legend of Chun-Li,103,96,19824,18000000,2009,3.7
Baby Geniuses,45,97,19547,18000000,1999,2.5
Glitter,66,104,19412,22000000,2001,2.1
The Master of Disguise,56,80,18254,16000000,2002,3.3
Beverly Hills Chihuahua,100,91,17829,20000000,2008,3.7
Feardotcom,104,101,17309,42000000,2002,3.3
Ballistic: Ecks vs. Sever,92,91,16761,70000000,2002,3.6
Exorcist II: The Heretic,82,118,16294,14000000,1977,3.7
Spy Kids: All the Time in the World in 4D,76,89,15866,27000000,2011,3.6
The Flintstones in Viva Rock Vegas,57,90,15517,60000000,2000,3.6
Who's Your Caddy?,25,93,13815,7000000,2007,2.0
Swept Away,71,89,13145,10000000,2002,3.6
Furry Vengeance,101,92,12399,35000000,2010,3.8
Daddy Day Camp,52,89,12339,6000000,2007,2.9
Dance Flick,83,88,10161,25000000,2009,3.5
Bucky Larson: Born to Be a Star,49,97,9541,10000000,2011,3.3
Fifty Shades of Black,59,92,9509,5000000,2016,3.5
Larry the Cable Guy: Health Inspector,37,89,9104,4000000,2006,3.1
Crossover,25,95,8707,5600000,2006,2.1
Steel,36,97,8687,16000000,1997,2.8
The Canyons,162,99,8511,250000,2013,3.9
Teen Wolf Too,29,95,8465,3000000,1987,3.2
Bats,97,91,8294,6500000,1999,3.6
Phat Girlz,37,99,8279,3000000,2006,3.0
Dudley Do-Right,41,77,8176,22000000,1999,3.8
The Haunting of Molly Hartley,74,82,7904,5000000,2008,3.8
Soul Survivors,64,84,7277,14000000,2001,3.9
The Devil's Tomb,32,90,5715,10000000,2009,3.8
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,16,82,5579,1300000,2010,2.7
Witless Protection,35,97,5463,7500000,2008,3.1
Chairman of the Board,12,95,5143,10000000,1998,2.3
Blonde Ambition,20,93,4995,10000000,2007,3.9
The Omega Code,39,100,4682,7500000,1999,3.5
Marci X,28,80,4518,20000000,2003,2.8
God's Not Dead 2,29,120,4501,5000000,2016,3.4
Foodfight!,12,91,4377,65000000,2012,1.7
Shanghai Surprise,21,97,4081,17000000,1986,3.0
Doogal,31,77,3851,20000000,2006,2.8
The Real Cancun,52,96,3611,8000000,2003,2.7
United Passions,7,110,3279,24000000,2014,2.0
Queen of the Mountains,16,135,3144,1400000,2014,8.7
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,29,80,2978,3000000,2013,2.6
An Alan Smithee Film: Burn Hollywood Burn,29,86,2971,10000000,1997,3.5
Thomas and the Magic Railroad,47,85,2855,19000000,2000,3.6
Alien Uprising,20,101,2753,2500000,2012,3.1
Barney's Great Adventure,24,76,2724,15000000,1998,2.8
Megaforce,40,99,2541,20000000,1982,3.5
The Walking Deceased,23,88,2348,1250000,2015,3.4
Beastmaster 2: Through the Portal of Time,17,107,2281,6000000,1991,3.8
Meet the Deedles,18,93,2265,24000000,1998,3.9
Zombie Hunter,150,93,2057,1000000,2013,3.5
Girls Gone Dead,64,104,2012,500000,2012,3.5
I Got the Hook Up,19,93,1721,3500000,1998,3.9
Frat Party,6,90,1612,1000000,2009,2.8
#Horror,35,101,1547,1500000,2015,3.3
Woo,23,84,1520,13000000,1998,3.8
Without Men,4,87,1427,4700000,2011,3.2
Super Hybrid,42,94,1328,13000000,2010,3.9
Crowsnest,22,84,1321,1200000,2012,3.8
In the Name of the King: The Last Job,17,86,1285,3500000,2014,3.3
My Big Fat Independent Movie,14,80,1257,3000000,2005,3.3
Fascination,13,103,1207,5000000,2004,3.3
Go for It!,8,105,1015,2450000,2011,3.9
The Last Godfather,4,100,912,13400000,2010,3.6
Bled,8,95,851,750000,2009,3.1
Shark Lake,18,92,838,2000000,2015,3.4
Chain of Command,11,88,801,5000000,2015,3.5
Independence Daysaster,10,90,761,1800000,2013,3.4
The True Story of Puss'N Boots,4,80,753,25000000,2009,2.9
The Dead Undead,17,89,737,1100000,2010,3.0
Snow White: A Deadly Summer,7,83,634,1000000,2012,2.2
Lords of London,3,90,610,3440000,2014,3.1
The Helix... Loaded,3,97,534,1000000,2005,1.9
AWOL-72,6,82,520,3000000,2015,3.9
Luminarias,13,100,505,1000000,2000,3.6
Inchon,10,140,491,48000000,1981,2.7
Hayride,13,93,485,60000,2012,3.4
Royal Kill,8,90,476,350000,2009,3.2
The Lion of Judah,7,87,458,15000000,2011,3.7
The Book of Mormon Movie  Volume 1: The Journey,7,120,397,2000000,2003,3.3
The Vatican Exorcisms,9,76,332,1100000,2013,2.6
Dancin' It's On,3,89,105,12000000,2015,2.8
Doc Holliday's Revenge,1,84,93,1000000,2014,3.8
Dude  Where's My Dog?!,2,82,73,20000,2014,3.2
