movie_title;director_name;num_critic_for_reviews;duration;actor_1_name;actor_2_name;num_voted_users;facenumber_in_poster;num_user_for_reviews;language;country;content_rating;budget;title_year;imdb_score
The Shawshank Redemption;Frank Darabont;199;142;Morgan Freeman;Jeffrey DeMunn;1689764;0;4144;English;USA;R;;1994;9.3
The Dark Knight;Christopher Nolan;645;152;Christian Bale;Heath Ledger;1676169;0;4667;English;USA;PG-13;185000000;2008;9.0
The Dark Knight;Christopher Nolan;645;152;Christian Bale;Heath Ledger;1676169;0;4667;English;USA;PG-13;185000000;2008;9.0
Inception;Christopher Nolan;642;148;Leonardo DiCaprio;Tom Hardy;1468200;0;2803;English;USA;PG-13;160000000;2010;8.8
Fight Club;David Fincher;315;151;Brad Pitt;Meat Loaf;1347461;2;2968;English;USA;R;63000000;1999;8.8
Pulp Fiction;Quentin Tarantino;215;178;Bruce Willis;Eric Stoltz;1324680;1;2195;English;USA;R;8000000;1994;8.9
Forrest Gump;Robert Zemeckis;149;142;Tom Hanks;Siobhan Fallon Hogan;1251222;0;1398;English;USA;PG-13;;1994;
The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;297;;Christopher Lee;Orlando Bloom;1238746;2;5060;;New Zealand;PG-13;93000000;2001;8.8
The Matrix;Lana Wachowski;313;136;Keanu Reeves;Marcus Chong;1217752;3;3646;English;USA;R;63000000;1999;8.7
The Lord of the Rings: The Return of the King;Peter Jackson;328;192;Orlando Bloom;Billy Boyd;1215718;2;3189;English;USA;PG-13;94000000;2003;8.9
The Lord of the Rings: The Return of the King;Peter Jackson;328;192;Orlando Bloom;Billy Boyd;1215718;2;3189;English;USA;PG-13;94000000;2003;8.9
The Godfather;Francis Ford Coppola;208;175;Al Pacino;Marlon Brando;1155770;1;2238;English;USA;R;6000000;1972;9.2
The Dark Knight Rises;Christopher Nolan;813;164;Tom Hardy;Christian Bale;1144337;0;2701;English;USA;PG-13;250000000;2012;8.5
The Lord of the Rings: The Two Towers;Peter Jackson;294;172;Christopher Lee;Orlando Bloom;1100446;1;2417;English;USA;PG-13;94000000;2002;8.7
Se7en;David Fincher;216;127;Morgan Freeman;Brad Pitt;1023511;0;1080;English;USA;R;33000000;1995;8.6
The Avengers;Joss Whedon;703;173;Chris Hemsworth;Robert Downey Jr.;995415;3;1722;English;USA;PG-13;220000000;2012;8.1
Gladiator;Ridley Scott;265;171;Djimon Hounsou;Connie Nielsen;982637;0;2368;English;USA;R;103000000;2000;8.5
Batman Begins;Christopher Nolan;478;128;Christian Bale;Liam Neeson;980946;0;2685;English;USA;PG-13;150000000;2005;8.3
Django Unchained;Quentin Tarantino;765;165;Leonardo DiCaprio;Christoph Waltz;955174;1;1193;English;USA;R;100000000;2012;8.5
Interstellar;Christopher Nolan;712;169;Matthew McConaughey;Anne Hathaway;928227;1;2725;English;USA;PG-13;165000000;2014;8.6
Star Wars: Episode IV - A New Hope;George Lucas;282;;Harrison Ford;Peter Cushing;911097;1;1470;English;USA;PG;11000000;1977;8.7
The Silence of the Lambs;Jonathan Demme;185;138;Anthony Hopkins;Scott Glenn;887467;0;916;English;USA;R;19000000;1991;8.6
Avatar;James Cameron;723;;CCH Pounder;Joel David Moore;886204;0;3054;English;USA;PG-13;237000000;2009;7.9
Inglourious Basterds;Quentin Tarantino;486;153;Michael Fassbender;Brad Pitt;885175;1;1527;English;USA;R;75000000;2009;8.3
Saving Private Ryan;Steven Spielberg;219;169;Tom Hanks;Vin Diesel;881236;2;2277;English;USA;R;70000000;1998;8.6
The Departed;Martin Scorsese;352;151;Leonardo DiCaprio;Matt Damon;873649;0;2054;English;USA;R;90000000;2006;8.5
Schindler's List;Steven Spielberg;174;185;Liam Neeson;Embeth Davidtz;865020;0;1273;English;USA;R;22000000;1993;8.9
Memento;Christopher Nolan;274;113;Callum Rennie;Thomas Lennon;845580;0;2067;English;USA;R;9000000;2000;8.5
The Prestige;Christopher Nolan;341;130;Christian Bale;Hugh Jackman;844052;1;1100;English;USA;PG-13;40000000;2006;8.5
Star Wars: Episode V - The Empire Strikes Back;Irvin Kershner;223;127;Harrison Ford;Kenny Baker;837759;0;900;English;USA;PG;18000000;1980;8.8
American Beauty;Sam Mendes;176;122;Kevin Spacey;Peter Gallagher;822500;0;2715;English;USA;R;15000000;1999;8.4
Pirates of the Caribbean: The Curse of the Black Pearl;Gore Verbinski;271;143;Johnny Depp;Orlando Bloom;809474;3;2113;English;USA;PG-13;140000000;2003;
Titanic;James Cameron;315;;Leonardo DiCaprio;Kate Winslet;793059;0;2528;English;USA;PG-13;200000000;1997;7.7
V for Vendetta;James McTeigue;525;132;Natalie Portman;Eddie Marsan;791783;1;2042;English;USA;R;54000000;2005;8.2
The Godfather: Part II;Francis Ford Coppola;149;220;Robert De Niro;Al Pacino;790926;1;650;English;USA;R;13000000;1974;9.0
The Godfather: Part II;Francis Ford Coppola;149;220;Robert De Niro;Al Pacino;790926;1;650;English;USA;R;13000000;1974;9.0
Shutter Island;Martin Scorsese;490;138;Leonardo DiCaprio;Joseph Sikora;786092;0;964;English;USA;R;80000000;2010;8.1
The Green Mile;Frank Darabont;186;189;Tom Hanks;Jeffrey DeMunn;782610;0;1377;English;USA;R;60000000;1999;8.5
American History X;Tony Kaye;162;101;Ethan Suplee;Beverly D'Angelo;782437;2;1420;English;USA;R;7500000;1998;8.6
The Wolf of Wall Street;Martin Scorsese;606;240;Leonardo DiCaprio;Matthew McConaughey;780588;3;1138;English;USA;R;100000000;2013;8.2
Terminator 2: Judgment Day;James Cameron;210;;Joe Morton;Jenette Goldstein;744891;0;983;English;USA;R;102000000;1991;8.5
The Usual Suspects;Bryan Singer;162;106;Kevin Spacey;Chazz Palminteri;740918;4;1182;English;USA;R;6000000;1995;8.6
Braveheart;Mel Gibson;132;178;Mhairi Calvey;Patrick McGoohan;736638;1;1065;English;USA;R;72000000;1995;8.4
Kill Bill: Vol. 1;Quentin Tarantino;354;111;David Carradine;Vivica A. Fox;735784;0;2105;English;USA;R;30000000;2003;8.1
